기록시각,탭,순위,제목,titleId,작가
2026-07-23 22:18,전체,1,김부장,783053,"{'writers': [{'id': 351540, 'name': '박만사'}, {'id': 364997, 'name': '남자의 이야기'}], 'painters': [{'id': 300655, 'name': '정종택', 'blogUrl': 'https://blog.naver.com/jongjt0302'}], 'originAuthors': []}"
2026-07-23 22:18,전체,2,외모지상주의,641253,"{'writers': [{'id': 283063, 'name': '박태준', 'blogUrl': 'https://blog.naver.com/thesooha'}], 'painters': [{'id': 283063, 'name': '박태준', 'blogUrl': 'https://blog.naver.com/thesooha'}], 'originAuthors': []}"
2026-07-23 22:18,전체,3,부활소년,848075,"{'writers': [{'id': 326532, 'name': '류', 'blogUrl': 'https://blog.naver.com/gyeonghun0617'}], 'painters': [{'id': 326532, 'name': '류', 'blogUrl': 'https://blog.naver.com/gyeonghun0617'}], 'originAuthors': []}"
2026-07-23 22:18,전체,4,화산귀환,769209,"{'writers': [{'id': 406909, 'name': 'ARCHE'}, {'id': 322253, 'name': 'LICO'}], 'painters': [{'id': 406909, 'name': 'ARCHE'}, {'id': 322253, 'name': 'LICO'}], 'originAuthors': [{'id': 344545, 'name': '비가'}]}"
2026-07-23 22:18,전체,5,나노마신,747271,"{'writers': [{'id': 334605, 'name': '현절무'}], 'painters': [{'id': 334606, 'name': '금강불괴'}], 'originAuthors': [{'id': 347598, 'name': '한중월야'}]}"
2026-07-23 22:59,전체,1,외모지상주의,641253,박태준
2026-07-23 22:59,전체,2,김부장,783053,글 박만사 · 남자의 이야기 / 그림 정종택
2026-07-23 22:59,전체,3,나 혼자 만렙 뉴비,773797,글 WAN.Z / 그림 스윙뱃 / 원작 메슬로우
2026-07-23 22:59,전체,4,여우놀이,768469,황혜진
2026-07-23 22:59,전체,5,아카데미에서 살아남기,820097,기린그린 / 원작 코리타
2026-07-23 23:12,전체,1,외모지상주의,641253,박태준
2026-07-23 23:12,전체,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-23 23:12,전체,3,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-23 23:12,전체,4,악당들의 후원자가 되었다,844063,LICO / 조겐 / 봄한방울
2026-07-23 23:12,전체,5,두 얼굴,845646,신도로 / 캔라
2026-07-23 23:12,여성,1,네가 사는 그 집,842465,석우 / 해바다
2026-07-23 23:12,여성,2,여우놀이,768469,황혜진
2026-07-23 23:12,여성,3,그리디,845919,영하 / 랑라리
2026-07-23 23:12,여성,4,연상녀클럽,851476,한성만
2026-07-23 23:12,여성,5,문제적 왕자님,800046,선인장 / 솔체
2026-07-23 23:12,남성,1,외모지상주의,641253,박태준
2026-07-23 23:12,남성,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-23 23:12,남성,3,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-23 23:12,남성,4,악당들의 후원자가 되었다,844063,LICO / 조겐 / 봄한방울
2026-07-23 23:12,남성,5,아카데미에서 살아남기,820097,기린그린 / 코리타
2026-07-24 00:59,전체,1,외모지상주의,641253,박태준
2026-07-24 00:59,전체,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 00:59,전체,3,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 00:59,전체,4,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 00:59,전체,5,악당들의 후원자가 되었다,844063,LICO / 조겐 / 봄한방울
2026-07-24 00:59,여성,1,그리디,845919,영하 / 랑라리
2026-07-24 00:59,여성,2,네가 사는 그 집,842465,석우 / 해바다
2026-07-24 00:59,여성,3,여우놀이,768469,황혜진
2026-07-24 00:59,여성,4,연상녀클럽,851476,한성만
2026-07-24 00:59,여성,5,소꿉친구 컴플렉스,822640,은하이
2026-07-24 00:59,남성,1,외모지상주의,641253,박태준
2026-07-24 00:59,남성,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 00:59,남성,3,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 00:59,남성,4,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 00:59,남성,5,부활소년,848075,류
2026-07-24 02:41,전체,1,외모지상주의,641253,박태준
2026-07-24 02:41,전체,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 02:41,전체,3,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 02:41,전체,4,부활소년,848075,류
2026-07-24 02:41,전체,5,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 02:41,여성,1,소꿉친구 컴플렉스,822640,은하이
2026-07-24 02:41,여성,2,연상녀클럽,851476,한성만
2026-07-24 02:41,여성,3,그리디,845919,영하 / 랑라리
2026-07-24 02:41,여성,4,여우놀이,768469,황혜진
2026-07-24 02:41,여성,5,네가 사는 그 집,842465,석우 / 해바다
2026-07-24 02:41,남성,1,외모지상주의,641253,박태준
2026-07-24 02:41,남성,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 02:41,남성,3,부활소년,848075,류
2026-07-24 02:41,남성,4,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 02:41,남성,5,아카데미에서 살아남기,820097,기린그린 / 코리타
2026-07-24 04:39,전체,1,외모지상주의,641253,박태준
2026-07-24 04:39,전체,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 04:39,전체,3,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 04:39,전체,4,부활소년,848075,류
2026-07-24 04:39,전체,5,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 04:39,여성,1,소꿉친구 컴플렉스,822640,은하이
2026-07-24 04:39,여성,2,네가 사는 그 집,842465,석우 / 해바다
2026-07-24 04:39,여성,3,그리디,845919,영하 / 랑라리
2026-07-24 04:39,여성,4,여우놀이,768469,황혜진
2026-07-24 04:39,여성,5,연상녀클럽,851476,한성만
2026-07-24 04:39,남성,1,외모지상주의,641253,박태준
2026-07-24 04:39,남성,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 04:39,남성,3,부활소년,848075,류
2026-07-24 04:39,남성,4,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 04:39,남성,5,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 06:17,전체,1,외모지상주의,641253,박태준
2026-07-24 06:17,전체,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 06:17,전체,3,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 06:17,전체,4,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 06:17,전체,5,상남자,751168,하늘소 / 도가도 / 김태궁
2026-07-24 06:17,여성,1,네가 사는 그 집,842465,석우 / 해바다
2026-07-24 06:17,여성,2,그리디,845919,영하 / 랑라리
2026-07-24 06:17,여성,3,문제적 왕자님,800046,선인장 / 솔체
2026-07-24 06:17,여성,4,여우놀이,768469,황혜진
2026-07-24 06:17,여성,5,소꿉친구 컴플렉스,822640,은하이
2026-07-24 06:17,남성,1,외모지상주의,641253,박태준
2026-07-24 06:17,남성,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 06:17,남성,3,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 06:17,남성,4,상남자,751168,하늘소 / 도가도 / 김태궁
2026-07-24 06:17,남성,5,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 08:06,전체,1,외모지상주의,641253,박태준
2026-07-24 08:06,전체,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 08:06,전체,3,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 08:06,전체,4,나 혼자 탑에서 농사,808389,한치 / 이하경 / sdcknight
2026-07-24 08:06,전체,5,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 08:06,여성,1,여우놀이,768469,황혜진
2026-07-24 08:06,여성,2,그리디,845919,영하 / 랑라리
2026-07-24 08:06,여성,3,연상녀클럽,851476,한성만
2026-07-24 08:06,여성,4,네가 사는 그 집,842465,석우 / 해바다
2026-07-24 08:06,여성,5,"언니, 이번 생엔 내가 왕비야",798917,착견 / 트리플라인 / 레팔진프
2026-07-24 08:06,남성,1,외모지상주의,641253,박태준
2026-07-24 08:06,남성,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 08:06,남성,3,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 08:06,남성,4,아카데미에서 살아남기,820097,기린그린 / 코리타
2026-07-24 08:06,남성,5,상남자,751168,하늘소 / 도가도 / 김태궁
2026-07-24 09:08,전체,1,외모지상주의,641253,박태준
2026-07-24 09:08,전체,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 09:08,전체,3,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 09:08,전체,4,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 09:08,전체,5,악당들의 후원자가 되었다,844063,LICO / 조겐 / 봄한방울
2026-07-24 09:08,여성,1,네가 사는 그 집,842465,석우 / 해바다
2026-07-24 09:08,여성,2,연상녀클럽,851476,한성만
2026-07-24 09:08,여성,3,여우놀이,768469,황혜진
2026-07-24 09:08,여성,4,소꿉친구 컴플렉스,822640,은하이
2026-07-24 09:08,여성,5,그리디,845919,영하 / 랑라리
2026-07-24 09:08,남성,1,외모지상주의,641253,박태준
2026-07-24 09:08,남성,2,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 09:08,남성,3,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 09:08,남성,4,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 09:08,남성,5,아카데미에서 살아남기,820097,기린그린 / 코리타
2026-07-24 13:23,전체,1,외모지상주의,641253,박태준
2026-07-24 13:23,전체,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 13:23,전체,3,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 13:23,전체,4,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 13:23,전체,5,부활소년,848075,류
